Infinitive,дожда́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дожда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дожда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дожду́сь
2nd Sing,дождёшься
3rd Sing,дождётся
1st Pl,дождёмся
2nd Pl,дождётесь
3rd Pl,дожду́тся
Past M,дожда́лся
Past F,дождала́сь
Past N,дождало́сь
Past PL,дождали́сь
Imp S,дожди́сь
Imp PL,дожди́тесь
