Infinitive,доводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,доводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,довожу́сь
2nd Sing,дово́дишься
3rd Sing,дово́дится
1st Pl,дово́димся
2nd Pl,дово́дитесь
3rd Pl,дово́дятся
Past M,доводи́лся
Past F,доводи́лась
Past N,доводи́лось
Past PL,доводи́лись
Imp S,доводи́сь
Imp PL,доводи́тесь
