Infinitive,доезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,доезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,доезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,доезжа́ю
2nd Sing,доезжа́ешь
3rd Sing,доезжа́ет
1st Pl,доезжа́ем
2nd Pl,доезжа́ете
3rd Pl,доезжа́ют
Past M,доезжа́л
Past F,доезжа́ла
Past N,доезжа́ло
Past PL,доезжа́ли
Imp S,доезжа́й
Imp PL,доезжа́йте
