Infinitive,допуска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,допуска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,допуска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,допуска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,допуска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,допуска́юсь
2nd Sing,допуска́ешься
3rd Sing,допуска́ется
1st Pl,допуска́емся
2nd Pl,допуска́етесь
3rd Pl,допуска́ются
Past M,допуска́лся
Past F,допуска́лась
Past N,допуска́лось
Past PL,допуска́лись
Imp S,допуска́йся
Imp PL,допуска́йтесь
