Infinitive,договори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,договори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,договорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,договори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,договори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,договорю́
2nd Sing,договори́шь
3rd Sing,договори́т
1st Pl,договори́м
2nd Pl,договори́те
3rd Pl,договоря́т
Past M,договори́л
Past F,договори́ла
Past N,договори́ло
Past PL,договори́ли
Imp S,договори́
Imp PL,договори́те
