Infinitive,дотяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дотяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дотя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дотяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дотяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дотяну́
2nd Sing,дотя́нешь
3rd Sing,дотя́нет
1st Pl,дотя́нем
2nd Pl,дотя́нете
3rd Pl,дотя́нут
Past M,дотяну́л
Past F,дотяну́ла
Past N,дотяну́ло
Past PL,дотяну́ли
Imp S,дотяни́
Imp PL,дотяни́те
