Infinitive,дотра́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дотра́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дотра́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дотра́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дотра́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дотра́гиваюсь
2nd Sing,дотра́гиваешься
3rd Sing,дотра́гивается
1st Pl,дотра́гиваемся
2nd Pl,дотра́гиваетесь
3rd Pl,дотра́гиваются
Past M,дотра́гивался
Past F,дотра́гивалась
Past N,дотра́гивалось
Past PL,дотра́гивались
Imp S,дотра́гивайся
Imp PL,дотра́гивайтесь
