Infinitive,допо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,допо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,допо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,допо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,допо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,допо́лню
2nd Sing,допо́лнишь
3rd Sing,допо́лнит
1st Pl,допо́лним
2nd Pl,допо́лните
3rd Pl,допо́лнят
Past M,допо́лнил
Past F,допо́лнила
Past N,допо́лнило
Past PL,допо́лнили
Imp S,допо́лни
Imp PL,допо́лните
