Infinitive,дорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дорву́сь
2nd Sing,дорвёшься
3rd Sing,дорвётся
1st Pl,дорвёмся
2nd Pl,дорвётесь
3rd Pl,дорву́тся
Past M,дорва́лся
Past F,дорвала́сь
Past N,дорвало́сь
Past PL,дорвали́сь
Imp S,дорви́сь
Imp PL,дорви́тесь
