Infinitive,дога́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дога́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дога́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дога́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дога́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дога́дываюсь
2nd Sing,дога́дываешься
3rd Sing,дога́дывается
1st Pl,дога́дываемся
2nd Pl,дога́дываетесь
3rd Pl,дога́дываются
Past M,дога́дывался
Past F,дога́дывалась
Past N,дога́дывалось
Past PL,дога́дывались
Imp S,дога́дывайся
Imp PL,дога́дывайтесь
