Infinitive,досмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,досмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,досмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,досмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,досмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,досмотрю́
2nd Sing,досмо́тришь
3rd Sing,досмо́трит
1st Pl,досмо́трим
2nd Pl,досмо́трите
3rd Pl,досмо́трят
Past M,досмотре́л
Past F,досмотре́ла
Past N,досмотре́ло
Past PL,досмотре́ли
Imp S,досмотри́
Imp PL,досмотри́те
