Infinitive,доса́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,доса́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доса́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доса́дуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доса́довав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,доса́довавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,доса́дую
2nd Sing,доса́дуешь
3rd Sing,доса́дует
1st Pl,доса́дуем
2nd Pl,доса́дуете
3rd Pl,доса́дуют
Past M,доса́довал
Past F,доса́довала
Past N,доса́довало
Past PL,доса́довали
Imp S,доса́дуй
Imp PL,доса́дуйте
