Infinitive,долете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,долете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,долете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,долете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,долечу́
2nd Sing,долети́шь
3rd Sing,долети́т
1st Pl,долети́м
2nd Pl,долети́те
3rd Pl,долетя́т
Past M,долете́л
Past F,долете́ла
Past N,долете́ло
Past PL,долете́ли
Imp S,долети́
Imp PL,долети́те
