Infinitive,донести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,донёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,донеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,донёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,донесу́сь
2nd Sing,донесёшься
3rd Sing,донесётся
1st Pl,донесёмся
2nd Pl,донесётесь
3rd Pl,донесу́тся
Past M,донёсся
Past F,донесла́сь
Past N,донесло́сь
Past PL,донесли́сь
Imp S,донеси́сь
Imp PL,донеси́тесь
