Infinitive,добавля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,добавля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,добавля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,добавля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,добавля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,добавля́юсь
2nd Sing,добавля́ешься
3rd Sing,добавля́ется
1st Pl,добавля́емся
2nd Pl,добавля́етесь
3rd Pl,добавля́ются
Past M,добавля́лся
Past F,добавля́лась
Past N,добавля́лось
Past PL,добавля́лись
Imp S,добавля́йся
Imp PL,добавля́йтесь
