Infinitive,дорожи́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дорожа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дорожи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дорожа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дорожи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дорожи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дорожу́
2nd Sing,дорожи́шь
3rd Sing,дорожи́т
1st Pl,дорожи́м
2nd Pl,дорожи́те
3rd Pl,дорожа́т
Past M,дорожи́л
Past F,дорожи́ла
Past N,дорожи́ло
Past PL,дорожи́ли
Imp S,дорожи́
Imp PL,дорожи́те
