Infinitive,доплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,доплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,доплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,доплыву́
2nd Sing,доплывёшь
3rd Sing,доплывёт
1st Pl,доплывём
2nd Pl,доплывёте
3rd Pl,доплыву́т
Past M,доплы́л
Past F,доплыла́
Past N,доплы́ло
Past PL,доплы́ли
Imp S,доплыви́
Imp PL,доплыви́те
