Infinitive,доверя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,доверя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доверя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доверя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доверя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доверя́юсь
2nd Sing,доверя́ешься
3rd Sing,доверя́ется
1st Pl,доверя́емся
2nd Pl,доверя́етесь
3rd Pl,доверя́ются
Past M,доверя́лся
Past F,доверя́лась
Past N,доверя́лось
Past PL,доверя́лись
Imp S,доверя́йся
Imp PL,доверя́йтесь
