Infinitive,досказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,досказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доска́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,досказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,досказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доскажу́
2nd Sing,доска́жешь
3rd Sing,доска́жет
1st Pl,доска́жем
2nd Pl,доска́жете
3rd Pl,доска́жут
Past M,досказа́л
Past F,досказа́ла
Past N,досказа́ло
Past PL,досказа́ли
Imp S,доскажи́
Imp PL,доскажи́те
