Infinitive,дове́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дове́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дове́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дове́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дове́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дове́рю
2nd Sing,дове́ришь
3rd Sing,дове́рит
1st Pl,дове́рим
2nd Pl,дове́рите
3rd Pl,дове́рят
Past M,дове́рил
Past F,дове́рила
Past N,дове́рило
Past PL,дове́рили
Imp S,дове́рь
Imp PL,дове́рьте
