Infinitive,доигра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доигра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дои́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доигра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доигра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доигра́ю
2nd Sing,доигра́ешь
3rd Sing,доигра́ет
1st Pl,доигра́ем
2nd Pl,доигра́ете
3rd Pl,доигра́ют
Past M,доигра́л
Past F,доигра́ла
Past N,доигра́ло
Past PL,доигра́ли
Imp S,доигра́й
Imp PL,доигра́йте
