Infinitive,дое́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дое́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дое́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,дое́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,дое́ду
2nd Sing,дое́дешь
3rd Sing,дое́дет
1st Pl,дое́дем
2nd Pl,дое́дете
3rd Pl,дое́дут
Past M,дое́хал
Past F,дое́хала
Past N,дое́хало
Past PL,дое́хали
Imp S,доезжа́й
Imp PL,доезжа́йте
