Infinitive,добива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,добива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,добива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,добива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,добива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,добива́юсь
2nd Sing,добива́ешься
3rd Sing,добива́ется
1st Pl,добива́емся
2nd Pl,добива́етесь
3rd Pl,добива́ются
Past M,добива́лся
Past F,добива́лась
Past N,добива́лось
Past PL,добива́лись
Imp S,добива́йся
Imp PL,добива́йтесь
