Infinitive,дове́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дове́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дове́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дове́рюсь
2nd Sing,дове́ришься
3rd Sing,дове́рится
1st Pl,дове́римся
2nd Pl,дове́ритесь
3rd Pl,дове́рятся
Past M,дове́рился
Past F,дове́рилась
Past N,дове́рилось
Past PL,дове́рились
Imp S,дове́рься
Imp PL,дове́рьтесь
