Infinitive,дости́чь△
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дости́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,дости́гнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дости́гнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дости́гнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дости́гши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дости́гну
2nd Sing,дости́гнешь
3rd Sing,дости́гнет
1st Pl,дости́гнем
2nd Pl,дости́гнете
3rd Pl,дости́гнут
Past M,дости́г
Past F,дости́гла
Past N,дости́гло
Past PL,дости́гли
Imp S,дости́гни
Imp PL,дости́гните
