Infinitive,доби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,добью́
2nd Sing,добьёшь
3rd Sing,добьёт
1st Pl,добьём
2nd Pl,добьёте
3rd Pl,добью́т
Past M,доби́л
Past F,доби́ла
Past N,доби́ло
Past PL,доби́ли
Imp S,добе́й
Imp PL,добе́йте
