Infinitive,докона́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,докона́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доко́нанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,докона́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,докона́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,докона́ю
2nd Sing,докона́ешь
3rd Sing,докона́ет
1st Pl,докона́ем
2nd Pl,докона́ете
3rd Pl,докона́ют
Past M,докона́л
Past F,докона́ла
Past N,докона́ло
Past PL,докона́ли
Imp S,докона́й
Imp PL,докона́йте
