Infinitive,дозвони́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дозвони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дозвони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дозвоню́сь
2nd Sing,дозвони́шься
3rd Sing,дозвони́тся
1st Pl,дозвони́мся
2nd Pl,дозвони́тесь
3rd Pl,дозвоня́тся
Past M,дозвони́лся
Past F,дозвони́лась
Past N,дозвони́лось
Past PL,дозвони́лись
Imp S,дозвони́сь
Imp PL,дозвони́тесь
