Infinitive,допроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,допроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,допро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,допроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,допроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,допрошу́
2nd Sing,допро́сишь
3rd Sing,допро́сит
1st Pl,допро́сим
2nd Pl,допро́сите
3rd Pl,допро́сят
Past M,допроси́л
Past F,допроси́ла
Past N,допроси́ло
Past PL,допроси́ли
Imp S,допроси́
Imp PL,допроси́те
