Infinitive,доба́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доба́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доба́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доба́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доба́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доба́влю
2nd Sing,доба́вишь
3rd Sing,доба́вит
1st Pl,доба́вим
2nd Pl,доба́вите
3rd Pl,доба́вят
Past M,доба́вил
Past F,доба́вила
Past N,доба́вило
Past PL,доба́вили
Imp S,доба́вь
Imp PL,доба́вьте
