Infinitive,доползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,допо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,допо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,доползу́
2nd Sing,доползёшь
3rd Sing,доползёт
1st Pl,доползём
2nd Pl,доползёте
3rd Pl,доползу́т
Past M,допо́лз
Past F,доползла́
Past N,доползло́
Past PL,доползли́
Imp S,доползи́
Imp PL,доползи́те
