Infinitive,дорабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дорабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дорабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дорабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дорабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дорабо́таю
2nd Sing,дорабо́таешь
3rd Sing,дорабо́тает
1st Pl,дорабо́таем
2nd Pl,дорабо́таете
3rd Pl,дорабо́тают
Past M,дорабо́тал
Past F,дорабо́тала
Past N,дорабо́тало
Past PL,дорабо́тали
Imp S,дорабо́тай
Imp PL,дорабо́тайте
