Infinitive,досади́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,досади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,досади́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,досади́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,досажу́
2nd Sing,досади́шь
3rd Sing,досади́т
1st Pl,досади́м
2nd Pl,досади́те
3rd Pl,досадя́т
Past M,досади́л
Past F,досади́ла
Past N,досади́ло
Past PL,досади́ли
Imp S,досади́
Imp PL,досади́те
