Infinitive,добира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,добира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,добира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,добира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,добира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,добира́юсь
2nd Sing,добира́ешься
3rd Sing,добира́ется
1st Pl,добира́емся
2nd Pl,добира́етесь
3rd Pl,добира́ются
Past M,добира́лся
Past F,добира́лась
Past N,добира́лось
Past PL,добира́лись
Imp S,добира́йся
Imp PL,добира́йтесь
