Infinitive,донести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,донёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,донесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,донеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,донёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,донесу́
2nd Sing,донесёшь
3rd Sing,донесёт
1st Pl,донесём
2nd Pl,донесёте
3rd Pl,донесу́т
Past M,донёс
Past F,донесла́
Past N,донесло́
Past PL,донесли́
Imp S,донеси́
Imp PL,донеси́те
