Infinitive,дозре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дозре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дозре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,дозре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,дозре́ю
2nd Sing,дозре́ешь
3rd Sing,дозре́ет
1st Pl,дозре́ем
2nd Pl,дозре́ете
3rd Pl,дозре́ют
Past M,дозре́л
Past F,дозре́ла
Past N,дозре́ло
Past PL,дозре́ли
Imp S,дозре́й
Imp PL,дозре́йте
