Infinitive,доложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доложу́
2nd Sing,доло́жишь
3rd Sing,доло́жит
1st Pl,доло́жим
2nd Pl,доло́жите
3rd Pl,доло́жат
Past M,доложи́л
Past F,доложи́ла
Past N,доложи́ло
Past PL,доложи́ли
Imp S,доложи́
Imp PL,доложи́те
