Infinitive,доказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дока́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,докажу́
2nd Sing,дока́жешь
3rd Sing,дока́жет
1st Pl,дока́жем
2nd Pl,дока́жете
3rd Pl,дока́жут
Past M,доказа́л
Past F,доказа́ла
Past N,доказа́ло
Past PL,доказа́ли
Imp S,докажи́
Imp PL,докажи́те
