Infinitive,докопа́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,докопа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,докопа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,докопа́юсь
2nd Sing,докопа́ешься
3rd Sing,докопа́ется
1st Pl,докопа́емся
2nd Pl,докопа́етесь
3rd Pl,докопа́ются
Past M,докопа́лся
Past F,докопа́лась
Past N,докопа́лось
Past PL,докопа́лись
Imp S,докопа́йся
Imp PL,докопа́йтесь
