Infinitive,дослу́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дослу́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дослу́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дослу́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дослу́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дослу́шаю
2nd Sing,дослу́шаешь
3rd Sing,дослу́шает
1st Pl,дослу́шаем
2nd Pl,дослу́шаете
3rd Pl,дослу́шают
Past M,дослу́шал
Past F,дослу́шала
Past N,дослу́шало
Past PL,дослу́шали
Imp S,дослу́шай
Imp PL,дослу́шайте
