Infinitive,довести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дове́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дове́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доведу́
2nd Sing,доведёшь
3rd Sing,доведёт
1st Pl,доведём
2nd Pl,доведёте
3rd Pl,доведу́т
Past M,довёл
Past F,довела́
Past N,довело́
Past PL,довели́
Imp S,доведи́
Imp PL,доведи́те
