Infinitive,дотя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дотя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дотя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дотя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дотя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дотя́гиваюсь
2nd Sing,дотя́гиваешься
3rd Sing,дотя́гивается
1st Pl,дотя́гиваемся
2nd Pl,дотя́гиваетесь
3rd Pl,дотя́гиваются
Past M,дотя́гивался
Past F,дотя́гивалась
Past N,дотя́гивалось
Past PL,дотя́гивались
Imp S,дотя́гивайся
Imp PL,дотя́гивайтесь
