Infinitive,до́хнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,до́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,до́хший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,до́хнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,до́хнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,до́хши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,до́хну
2nd Sing,до́хнешь
3rd Sing,до́хнет
1st Pl,до́хнем
2nd Pl,до́хнете
3rd Pl,до́хнут
Past M,до́х
Past F,до́хла
Past N,до́хло
Past PL,до́хли
Imp S,до́хни
Imp PL,до́хните
