Infinitive,дослужи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дослужи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дослужи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дослужу́сь
2nd Sing,дослу́жишься
3rd Sing,дослу́жится
1st Pl,дослу́жимся
2nd Pl,дослу́житесь
3rd Pl,дослу́жатся
Past M,дослужи́лся
Past F,дослужи́лась
Past N,дослужи́лось
Past PL,дослужи́лись
Imp S,дослужи́сь
Imp PL,дослужи́тесь
