Infinitive,доба́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,доба́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доба́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,доба́влюсь
2nd Sing,доба́вишься
3rd Sing,доба́вится
1st Pl,доба́вимся
2nd Pl,доба́витесь
3rd Pl,доба́вятся
Past M,доба́вился
Past F,доба́вилась
Past N,доба́вилось
Past PL,доба́вились
Imp S,доба́вься
Imp PL,доба́вьтесь
