Infinitive,дозво́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дозво́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дозво́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дозво́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дозво́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дозво́лю
2nd Sing,дозво́лишь
3rd Sing,дозво́лит
1st Pl,дозво́лим
2nd Pl,дозво́лите
3rd Pl,дозво́лят
Past M,дозво́лил
Past F,дозво́лила
Past N,дозво́лило
Past PL,дозво́лили
Imp S,дозво́ль
Imp PL,дозво́льте
