Infinitive,цвести́
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,цвету́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,цве́тший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,цвётший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,цветя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,цве́тши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,цвётши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,цвету́
2nd Sing,цветёшь
3rd Sing,цветёт
1st Pl,цветём
2nd Pl,цветёте
3rd Pl,цвету́т
Past M,цвёл
Past F,цвела́
Past N,цвело́
Past PL,цвели́
Imp S,цвети́
Imp PL,цвети́те
