Infinitive,де́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,де́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,де́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,де́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,де́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,де́ну
2nd Sing,де́нешь
3rd Sing,де́нет
1st Pl,де́нем
2nd Pl,де́нете
3rd Pl,де́нут
Past M,де́л
Past F,де́ла
Past N,де́ло
Past PL,де́ли
Imp S,де́нь
Imp PL,де́ньте
