Infinitive,дежу́рить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дежу́рящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дежу́ривший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дежу́ря
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дежу́рив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дежу́ривши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дежу́рю
2nd Sing,дежу́ришь
3rd Sing,дежу́рит
1st Pl,дежу́рим
2nd Pl,дежу́рите
3rd Pl,дежу́рят
Past M,дежу́рил
Past F,дежу́рила
Past N,дежу́рило
Past PL,дежу́рили
Imp S,дежу́рь
Imp PL,дежу́рьте
