Infinitive,дерза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дерза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дерза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дерза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дерза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дерза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дерза́ю
2nd Sing,дерза́ешь
3rd Sing,дерза́ет
1st Pl,дерза́ем
2nd Pl,дерза́ете
3rd Pl,дерза́ют
Past M,дерза́л
Past F,дерза́ла
Past N,дерза́ло
Past PL,дерза́ли
Imp S,дерза́й
Imp PL,дерза́йте
