Infinitive,дерзну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дерзну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дерзну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,дерзну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,дерзну́
2nd Sing,дерзнёшь
3rd Sing,дерзнёт
1st Pl,дерзнём
2nd Pl,дерзнёте
3rd Pl,дерзну́т
Past M,дерзну́л
Past F,дерзну́ла
Past N,дерзну́ло
Past PL,дерзну́ли
Imp S,дерзни́
Imp PL,дерзни́те
