Infinitive,дезерти́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дезерти́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дезерти́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дезерти́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дезерти́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дезерти́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дезерти́рую
2nd Sing,дезерти́руешь
3rd Sing,дезерти́рует
1st Pl,дезерти́руем
2nd Pl,дезерти́руете
3rd Pl,дезерти́руют
Past M,дезерти́ровал
Past F,дезерти́ровала
Past N,дезерти́ровало
Past PL,дезерти́ровали
Imp S,дезерти́руй
Imp PL,дезерти́руйте
