Infinitive,де́латься
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,де́лающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,де́лавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,де́лаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,де́лавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,де́лаюсь
2nd Sing,де́лаешься
3rd Sing,де́лается
1st Pl,де́лаемся
2nd Pl,де́лаетесь
3rd Pl,де́лаются
Past M,де́лался
Past F,де́лалась
Past N,де́лалось
Past PL,де́лались
Imp S,де́лайся
Imp PL,де́лайтесь
