Infinitive,дева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дева́юсь
2nd Sing,дева́ешься
3rd Sing,дева́ется
1st Pl,дева́емся
2nd Pl,дева́етесь
3rd Pl,дева́ются
Past M,дева́лся
Past F,дева́лась
Past N,дева́лось
Past PL,дева́лись
Imp S,дева́йся
Imp PL,дева́йтесь
