Infinitive,держа́ть
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,держа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,держа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,держи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,де́ржанный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,держа́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,держа́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,держа́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,держу́
2nd Sing,де́ржишь
3rd Sing,де́ржит
1st Pl,де́ржим
2nd Pl,де́ржите
3rd Pl,де́ржат
Past M,держа́л
Past F,держа́ла
Past N,держа́ло
Past PL,держа́ли
Imp S,держи́
Imp PL,держи́те
