Infinitive,демонстри́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,демонстри́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,демонстри́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,демонстри́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,демонстри́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,демонстри́руюсь
2nd Sing,демонстри́руешься
3rd Sing,демонстри́руется
1st Pl,демонстри́руемся
2nd Pl,демонстри́руетесь
3rd Pl,демонстри́руются
Past M,демонстри́ровался
Past F,демонстри́ровалась
Past N,демонстри́ровалось
Past PL,демонстри́ровались
Imp S,демонстри́руйся
Imp PL,демонстри́руйтесь
