Infinitive,де́йствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,де́йствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,де́йствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,де́йствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,де́йствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,де́йствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,де́йствую
2nd Sing,де́йствуешь
3rd Sing,де́йствует
1st Pl,де́йствуем
2nd Pl,де́йствуете
3rd Pl,де́йствуют
Past M,де́йствовал
Past F,де́йствовала
Past N,де́йствовало
Past PL,де́йствовали
Imp S,де́йствуй
Imp PL,де́йствуйте
