Infinitive,дели́ть
Zaliznyak Class,4c[④]⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,деля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,де́лящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,дели́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дели́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,делённый
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,деля́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,дели́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,дели́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,делю́
2nd Sing,де́лишь
3rd Sing,де́лит
1st Pl,де́лим
2nd Pl,де́лите
3rd Pl,де́лят
Past M,дели́л
Past F,дели́ла
Past N,дели́ло
Past PL,дели́ли
Imp S,дели́
Imp PL,дели́те
