Infinitive,держа́ться
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,держа́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,держа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,держа́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,держа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,держу́сь
2nd Sing,де́ржишься
3rd Sing,де́ржится
1st Pl,де́ржимся
2nd Pl,де́ржитесь
3rd Pl,де́ржатся
Past M,держа́лся
Past F,держа́лась
Past N,держа́лось
Past PL,держа́лись
Imp S,держи́сь
Imp PL,держи́тесь
