Infinitive,дерзи́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дерзя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дерзи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дерзя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дерзи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дерзи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
2nd Sing,дерзи́шь
3rd Sing,дерзи́т
1st Pl,дерзи́м
2nd Pl,дерзи́те
3rd Pl,дерзя́т
Past M,дерзи́л
Past F,дерзи́ла
Past N,дерзи́ло
Past PL,дерзи́ли
Imp S,дерзи́
Imp PL,дерзи́те
