Infinitive,демобилизова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,демобилизу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,демобилизова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,демобилизу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,демобилизова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,демобилизу́юсь
2nd Sing,демобилизу́ешься
3rd Sing,демобилизу́ется
1st Pl,демобилизу́емся
2nd Pl,демобилизу́етесь
3rd Pl,демобилизу́ются
Past M,демобилизова́лся
Past F,демобилизова́лась
Past N,демобилизова́лось
Past PL,демобилизова́лись
Imp S,демобилизу́йся
Imp PL,демобилизу́йтесь
