Infinitive,дели́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,деля́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дели́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,деля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дели́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,делю́сь
2nd Sing,де́лишься
3rd Sing,де́лится
1st Pl,де́лимся
2nd Pl,де́литесь
3rd Pl,де́лятся
Past M,дели́лся
Past F,дели́лась
Past N,дели́лось
Past PL,дели́лись
Imp S,дели́сь
Imp PL,дели́тесь
