Infinitive,де́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,де́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,де́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,де́нусь
2nd Sing,де́нешься
3rd Sing,де́нется
1st Pl,де́немся
2nd Pl,де́нетесь
3rd Pl,де́нутся
Past M,де́лся
Past F,де́лась
Past N,де́лось
Past PL,де́лись
Imp S,де́нься
Imp PL,де́ньтесь
