Infinitive,рассади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассажу́
2nd Sing,расса́дишь
3rd Sing,расса́дит
1st Pl,расса́дим
2nd Pl,расса́дите
3rd Pl,расса́дят
Past M,рассади́л
Past F,рассади́ла
Past N,рассади́ло
Past PL,рассади́ли
Imp S,рассади́
Imp PL,рассади́те
